roc_auc,pr_auc,weighted_log_loss,model,candidate_id,model_variant,fold
0.9446587241988107,0.6380545610390644,0.1250880005052867,catboost,1,catboost_g1,1
0.9430279190458755,0.6245499085606556,0.1253142824306749,catboost,1,catboost_g1,2
0.9417195089227002,0.625354996091122,0.12815084981186825,catboost,1,catboost_g1,3
0.9524203638238972,0.6754935012564031,0.11663694585932653,xgboost,1,xgboost_g1,1
0.9508327934075992,0.660403483957714,0.11702582958265831,xgboost,1,xgboost_g1,2
0.9511096665670951,0.6727332387855524,0.11779126843707437,xgboost,1,xgboost_g1,3
0.952991759150155,0.6855381484747767,0.11502549467943646,xgboost,2,xgboost_g2,1
0.9514823657196941,0.6795785959991677,0.11500909605394759,xgboost,2,xgboost_g2,2
0.9510950357479748,0.6776905327891999,0.11754908571350435,xgboost,2,xgboost_g2,3
0.9464775061020377,0.6473837480781838,0.1228864596700217,catboost,2,catboost_g2,1
0.944870586530848,0.6374134233871491,0.12282727304574101,catboost,2,catboost_g2,2
0.9435903138842119,0.6369027028091268,0.125866511418406,catboost,2,catboost_g2,3
0.9526273796893812,0.6874399243216354,0.11503195466308144,lightgbm,1,lightgbm_g1,1
0.9515314726205286,0.6763891373291927,0.11543803347259508,lightgbm,1,lightgbm_g1,2
0.9504980108752122,0.6791736871987883,0.11786105334120693,lightgbm,1,lightgbm_g1,3
0.9437588901387867,0.6308118453649674,0.1269550181929533,catboost,3,catboost_g3,1
0.9413253120085011,0.6138644471824559,0.1274312540102912,catboost,3,catboost_g3,2
0.938828799538106,0.6106122161645798,0.13140583640572667,catboost,3,catboost_g3,3
0.953274619193003,0.6876124455789623,0.11479721787360998,xgboost,3,xgboost_g3,1
0.9521196885252718,0.6801772349279384,0.11479516199523437,xgboost,3,xgboost_g3,2
0.9513007227228766,0.6805260245003256,0.1174125353733914,xgboost,3,xgboost_g3,3
0.9535708684185593,0.6891823236174129,0.11469692128778941,lightgbm,2,lightgbm_g2,1
0.9510593481908213,0.6774983623848612,0.11585352498602061,lightgbm,2,lightgbm_g2,2
0.9507846542301289,0.6801580501609821,0.11795850279281442,lightgbm,2,lightgbm_g2,3
0.9530329396914671,0.6874333844498767,0.11566524414392829,lightgbm,3,lightgbm_g3,1
0.9512729223726291,0.6789833510406827,0.11603631392465756,lightgbm,3,lightgbm_g3,2
0.9502240929058645,0.6765021562099107,0.11939826402454422,lightgbm,3,lightgbm_g3,3
