model,metric,point_estimate,ci_low,ci_high
LightGBM,roc_auc,0.9548795583429754,0.9515106492994959,0.9584578837510749
LightGBM,pr_auc,0.6845269988127858,0.6657540691196466,0.7008573061758931
LightGBM,operating_f1,0.6136678640167997,0.5956074019328839,0.6316954541026945
XGBoost,roc_auc,0.9554831159704692,0.9518855478752772,0.9594544159931202
XGBoost,pr_auc,0.6799277367992492,0.6602147271983547,0.7031233742469947
XGBoost,operating_f1,0.5745527359746616,0.5543430208097128,0.5974270700291497
FT-Transformer,roc_auc,0.9412778694181219,0.9379479811528727,0.9452611487599086
FT-Transformer,pr_auc,0.5774666284919481,0.5583472186349248,0.5991612673935885
FT-Transformer,operating_f1,0.5481958356946188,0.5282386364825766,0.5659547348558622
