bin,mean_pred,observed_rate,weight_share,model,ece,brier
1,1.4588972780157035e-05,0.0,0.09582981043415002,LightGBM,0.002908014892602781,0.033016801679481685
2,1.7536290057769476e-05,0.0,0.0968330403208303,LightGBM,0.002908014892602781,0.033016801679481685
3,8.962875457731813e-05,0.0,0.09897114136732085,LightGBM,0.002908014892602781,0.033016801679481685
4,0.0009741538754179244,0.0008737749488158667,0.10197611881349064,LightGBM,0.002908014892602781,0.033016801679481685
5,0.0027451215248825342,0.0019242116211667306,0.10127921508906884,LightGBM,0.002908014892602781,0.033016801679481685
6,0.005798570970409903,0.003768328547055828,0.1009511351734449,LightGBM,0.002908014892602781,0.033016801679481685
7,0.011902272326843962,0.014709117080586268,0.10080203873331844,LightGBM,0.002908014892602781,0.033016801679481685
8,0.027670176740711185,0.03025455946235507,0.10127573439635709,LightGBM,0.002908014892602781,0.033016801679481685
9,0.08521624498754685,0.09965716856830151,0.10053484645662786,LightGBM,0.002908014892602781,0.033016801679481685
10,0.4744048080079964,0.4803255043560355,0.10154691921539107,LightGBM,0.002908014892602781,0.033016801679481685
1,2.754882105662576e-05,0.0,0.10145701615447182,XGBoost,0.003621482612826123,0.03323530704692378
2,3.749059204020228e-05,0.0,0.09354734978894683,XGBoost,0.003621482612826123,0.03323530704692378
3,6.386197230148435e-05,0.0,0.09795736959614783,XGBoost,0.003621482612826123,0.03323530704692378
4,0.0006050810544057112,0.000882626835672546,0.10095339773892409,XGBoost,0.003621482612826123,0.03323530704692378
5,0.0020182224435717896,0.0007365738190397811,0.1004532309239031,XGBoost,0.003621482612826123,0.03323530704692378
6,0.004821034362284458,0.0049606358733268255,0.1009328657133091,XGBoost,0.003621482612826123,0.03323530704692378
7,0.010634825233446556,0.010817857980456211,0.10110962262850687,XGBoost,0.003621482612826123,0.03323530704692378
8,0.026240937344496233,0.03249300759088861,0.10132836244711524,XGBoost,0.003621482612826123,0.03323530704692378
9,0.08363159315260571,0.10262983705679488,0.1003330197110335,XGBoost,0.003621482612826123,0.03323530704692378
10,0.46875017949484293,0.4773827614532577,0.10192776529764166,XGBoost,0.003621482612826123,0.03323530704692378
1,0.0006671633032582039,0.0,0.09401001317694804,FT-Transformer,0.16294013733747892,0.10244579512554496
2,0.0008162146046562421,0.0,0.09810395172258009,FT-Transformer,0.16294013733747892,0.10244579512554496
3,0.0017078958549703086,0.0,0.09808120091378414,FT-Transformer,0.16294013733747892,0.10244579512554496
4,0.009878062943437153,0.0008784659615099177,0.10143156582133839,FT-Transformer,0.16294013733747892,0.10244579512554496
5,0.033832583609477586,0.0014039653129553189,0.10095824792464293,FT-Transformer,0.16294013733747892,0.10244579512554496
6,0.09199604911952203,0.005677511741537618,0.10144090657304333,FT-Transformer,0.16294013733747892,0.10244579512554496
7,0.20748472408691912,0.01561637927712829,0.10155522388205099,FT-Transformer,0.16294013733747892,0.10244579512554496
8,0.39123344493045775,0.047423316243535754,0.10111494981084362,FT-Transformer,0.16294013733747892,0.10244579512554496
9,0.6173610623985532,0.12048289095782798,0.10173384543348421,FT-Transformer,0.16294013733747892,0.10244579512554496
10,0.8806586137177725,0.4387183263844546,0.10157009474128428,FT-Transformer,0.16294013733747892,0.10244579512554496
